ID,FIRST_NAME,LAST_NAME,EMAIL,DOB,LASTTRANSACTION,DAYSSINCELASTTRANS,AGE,STANDARIZED_PHONE,ADDRESS,REGION,COUNTRY,COMPANY
7,Mayer,Dominique V.,ipsum.phasellus@aol.edu,1997-11-27,2022-09-01,924,9968,63171546824,"P.O. Box 443, 6497 Elementum, Rd.",Kaluga Oblast,China,Iaculis Quis Corporation
6,Golden,Lane H.,lacus.varius@outlook.net,1970-09-12,2022-10-01,894,19906,638811661136,518-7417 Arcu Av.,San José,Philippines,Risus Associates
10,Alford,Reece S.,vel@outlook.edu,1967-10-20,2022-07-18,969,20964,903069949880,"P.O. Box 427, 691 Vel Av.",Sumy oblast,Turkey,Amet Corporation
4,Bennett,Nasim Z.,elementum.sem@hotmail.org,1951-10-21,2021-12-21,1178,26807,47169772165,Ap #138-7239 Integer St.,Mexico City,Norway,Cursus Diam At Ltd
1,Kline,Alisa T.,tempor.bibendum@yahoo.ca,1996-02-10,2022-09-21,904,10624,448454643,Ap #671-8278 Nec St.,Pernambuco,United Kingdom,N/A
9,Hyde,Angelica E.,odio.aliquam@hotmail.edu,1951-01-31,2022-06-19,998,27070,445508611528,Ap #671-6622 Feugiat Road,Hatay,United Kingdom,Magna Limited
22,Kirby,Cameron D.,nunc@hotmail.com,1989-12-01,2022-10-22,873,12886,1800473297,5034 Lacus. Rd.,Khyber Pakhtoonkhwa,United States,Suspendisse Foundation
2,Whitney,Kaitlin T.,sapien@yahoo.org,1969-01-23,2022-03-15,1094,20503,481513245743,Ap #972-5338 Dignissim. Rd.,Santa Catarina,Poland,N/A
21,Small,Gil U.,id.risus@google.ca,1994-03-17,2022-09-22,903,11319,317042618694,906-9695 Velit. Street,Emilia-Romagna,Netherlands,Aliquam Gravida Associates
8,Whitfield,Len F.,quisque.fringilla@protonmail.org,1975-07-19,2022-10-12,883,18135,521375483625,Ap #246-753 Arcu. Avenue,Akwa Ibom,Mexico,Nec Ante Institute
5,Brock,Alec N.,enim.nunc.ut@yahoo.couk,1999-12-30,2022-10-01,894,9205,551366269750,597-548 Egestas. Rd.,Vorarlberg,Brazil,Nec Ante Blandit Company
11,Huber,Nora Y.,noray32@yahoo.org,1999-12-23,2022-05-29,1019,9212,481515895743,Ap 10 Dignissim. Rd.,Santa Catarina,Poland,LETNI
20,Sandoval,Quinlan Z.,ut@protonmail.edu,2000-05-14,2022-10-12,883,9069,15567878637,166-7842 Eget Road,Huádōng,United States,Suspendisse Foundation
